bbref_name,bbref_id,nba_name,nba_id
Lindy Waters III,waterli01,Lindy Waters III,1630322
Trendon Watford,watfotr01,Trendon Watford,1630570
Peyton Watson,watsope01,Peyton Watson,1631212
Russell Westbrook,westbru01,Russell Westbrook,201566
Coby White,whiteco01,Coby White,1629632
Derrick White,whitede01,Derrick White,1628401
Jack White,whiteja03,Jack White,1631298
Joe Wieskamp,wieskjo01,Joe Wieskamp,1630580
Andrew Wiggins,wiggian01,Andrew Wiggins,203952
Lindell Wigginton,wiggili01,Lindell Wigginton,1629623
Alondes Williams,willial06,Alondes Williams,1631214
Donovan Williams,willido02,Donovan Williams,1631495
Grant Williams,willigr01,Grant Williams,1629684
Jalen Williams,willija06,Jalen Williams,1631114
Jaylin Williams,willija07,Jaylin Williams,1631119
Jeenathan Williams,willije02,Jeenathan Williams,1631466
Kenrich Williams,willike04,Kenrich Williams,1629026
Mark Williams,willima07,Mark Williams,1631109
Patrick Williams,willipa01,Patrick Williams,1630172
Vince Williams Jr.,willivi01,Vince Williams Jr.,1631246
Zion Williamson,willizi01,Zion Williamson,1629627
Ziaire Williams,willizi02,Ziaire Williams,1630533
Dylan Windler,windldy01,Dylan Windler,1629685
Justise Winslow,winslju01,Justise Winslow,1626159
James Wiseman,wisemja01,James Wiseman,1630164
Christian Wood,woodch01,Christian Wood,1626174
Delon Wright,wrighde01,Delon Wright,1626153
McKinley Wright IV,wrighmc01,McKinley Wright IV,1630593
Gabe York,yorkga01,Gabe York,1628221
Thaddeus Young,youngth01,Thaddeus Young,201152
Trae Young,youngtr01,Trae Young,1629027
Omer Yurtseven,yurtsom01,Omer Yurtseven,1630209
Cody Zeller,zelleco01,Cody Zeller,203469
Ivica Zubac,zubaciv01,Ivica Zubac,1627826
Aaron Wiggins,wiggiaa01,Aaron Wiggins,1630598
Blake Wesley,weslebl01,Blake Wesley,1631104
Charles Bassey,bassech01,Charles Bassey,1629646
Doug McDermott,mcderdo01,Doug McDermott,203926
Isaiah Roby,robyis01,Isaiah Roby,1629676
Keita Bates-Diop,bateske01,Keita Bates-Diop,1628966
OG Anunoby,anunoog01,O.G. Anunoby,1628384
Patrick Baldwin Jr.,baldwpa01,Patrick Baldwin,1631116
Dāvis Bertāns,bertada01,Davis Bertans,202722
Bogdan Bogdanović,bogdabo01,Bogdan Bogdanovic,203992
